Date,Open,High,Low,Close,Adj Close,Volume
2021-06-03,0.112973,0.119844,0.111963,0.118781,0.118781,57095
2021-06-04,0.118896,0.119243,0.107956,0.111546,0.111546,59093
2021-06-05,0.111495,0.117382,0.105384,0.109793,0.109793,41735
2021-06-06,0.109806,0.110754,0.106215,0.110302,0.110302,26692
2021-06-07,0.110327,0.113910,0.100475,0.101559,0.101559,60798
2021-06-08,0.101368,0.103380,0.093967,0.100452,0.100452,96175
2021-06-09,0.100433,0.114152,0.097449,0.113404,0.113404,62935
2021-06-10,0.113567,0.116592,0.107912,0.110522,0.110522,55542
2021-06-11,0.110545,0.113724,0.108269,0.113217,0.113217,37980
2021-06-12,0.113400,0.113625,0.105463,0.105821,0.105821,2422
2021-06-13,0.105950,0.117539,0.101726,0.113883,0.113883,5487
2021-06-14,0.113896,0.124424,0.112963,0.118168,0.118168,4333
2021-06-15,0.122234,0.127003,0.117272,0.121176,0.121176,62690
2021-06-16,0.119293,0.122818,0.097747,0.114854,0.114854,54340
2021-06-17,0.114881,0.120381,0.102245,0.109782,0.109782,4645
2021-06-18,0.109782,0.113377,0.101759,0.102933,0.102933,33681
2021-06-19,0.103127,0.105622,0.096008,0.096750,0.096750,8074
2021-06-20,0.096606,0.099183,0.091547,0.098883,0.098883,17452
2021-06-21,0.098883,0.099965,0.086379,0.087283,0.087283,50782
2021-06-22,0.087430,0.094239,0.081734,0.089562,0.089562,61410
2021-06-23,0.089657,0.094796,0.087635,0.092200,0.092200,23973
2021-06-24,0.091657,0.102495,0.084656,0.090398,0.090398,31826
2021-06-25,0.090348,0.093423,0.077651,0.084080,0.084080,37850
2021-06-26,0.084046,0.085369,0.074164,0.082224,0.082224,33942
2021-06-27,0.082447,0.089781,0.082447,0.089301,0.089301,46458
2021-06-28,0.089424,0.095282,0.085553,0.086804,0.086804,25818
2021-06-29,0.086754,0.092907,0.084403,0.089426,0.089426,52599
2021-06-30,0.089280,0.089873,0.080248,0.082390,0.082390,21840
2021-07-01,0.082408,0.082408,0.077368,0.078988,0.078988,23039
2021-07-02,0.079074,0.081315,0.076882,0.079708,0.079708,37831
2021-07-03,0.079604,0.083320,0.072675,0.074684,0.074684,27010
2021-07-04,0.074674,0.105257,0.074343,0.078735,0.078735,27414
2021-07-05,0.078755,0.079035,0.070606,0.074714,0.074714,24870
2021-07-06,0.074546,0.082199,0.072628,0.073284,0.073284,20369
2021-07-07,0.073355,0.080719,0.065533,0.075848,0.075848,38987
2021-07-08,0.075884,0.076002,0.065856,0.070285,0.070285,54348
2021-07-09,0.070355,0.075546,0.069301,0.075149,0.075149,11513
2021-07-10,0.075005,0.075920,0.072270,0.074410,0.074410,23842
2021-07-11,0.074438,0.084012,0.073944,0.082495,0.082495,39074
2021-07-12,0.082506,0.089194,0.079123,0.082881,0.082881,60184
2021-07-13,0.082874,0.084189,0.078392,0.079770,0.079770,35129
2021-07-14,0.079786,0.081969,0.076907,0.080395,0.080395,49020
